번호,용어,설명
11,가계수지,"일정기간 중 가구의 총수입과 총지출을 가계수지라고 하는데 언제나 「총수입 = 총지출」의 관계가 성립된다.

· 총 수 입 = 소득+기타수입+전월이월금
· 총 지 출 = 소비지출+비소비지출+기타지출+월말현금잔고
· 흑 자 = 소득-가계지출 = 소득-(소비지출+비소비지출) = 처분가능소득-소비지출
· 흑자율(%) = (흑자 ÷ 가처분소득) × 100"
12,가계에 봉사하는 비영리단체,"가계에 봉사하는 비영리단체(NPISH, Non-profit institutions serving households)란 가계에 재화나 서비스를 무상 또는 경제적으로 의미없는 가격으로 제공하는 비영리단체를 가리키며 종교단체, 정당, 노동조합, 소비자단체, 자선단체 등이 대표적인 예이다. "
13,가계총처분가능소득(PGDI),가계가 소비나 저축으로 처분할 수 있는 소득으로 고정자본소모를 합산하여 산출
14,가공무역,거주자가 소유하거나 해외에서 조달한 원재료를 해외에서 가공하여 완제품을 만든 후 이를 국내로 반입하지 않고 가공국 또는 제3국으로 수출하는 방식의 무역을 의미한다.
15,가구,"1인 또는 2인 이상이 모여서 취사, 취침 등 생계를 같이 하는 사회경제적 생활단위를 말한다. "
16,가구주,"호주 또는 세대주와는 관계없이 그 가구를 실질적으로 대표하는 사람을 말하며, 혈연관계가 없는 사람이 2인 이상 함께 사는 경우에는 그 중 연장자 또는 대표자를 선정하여 가구주로 한다.(인구주택총조사)
호주 또는 세대주와는 관계없이 해당가구의 구성원으로서 그 가구의 생계를 책임지고 있으며, 또한 사실상 생계유지를 위한 비용을 조달하는 사람을 가구주로 한다.(가계조사)"
17,가동률,"생산설비가 어느 정도 이용되는지를 나타내는 지표로서 사업체가 주어진 조건(설비, 노동, 생산효율 등)하에서 정상적으로 가동하였을 때 생산할 수 있는 최대 생산량(=생산능력)에 대한 실제 생산량의 비율(%)을 말한다."
18,가스수도비,"제조부문에서 발생한 수도료, 연료비 및 유류비 등을 말한다. 다만, 운송업종에 있어서 운송수익 창출에 직접 사용되는 연료비 및 유료비는 업종특성상 재료비로 계상된다."
19,"가중값, 가중치","어떤 대상이 속해있는 집단에서, 다른 대상에 비해 상대적인 중요성을 수치로 나타내는 값을 말한다. 종합지수를 계산할 때는 개별 구성항목의 지수를 단순산술평균하지 않고 각 항목의 중요도를 고려하여 가중평균하는데 이때 중요도로 가중값을 사용한다. 예컨대 물가지수의 경우에는 상품거래금액 또는 소비지출금액을, 산업생산지수의 경우에는 부가가치액을 가중값으로 하고 있다."
20,가중평균지수,하위 개별 구성지수에 상대적인 중요도나 영향도에 해당하는 각각의 가중값을 적용하여 계산한 평균값을 말한다. 생산지수나 물가지수 등 각종 경제통계에서는 단순산술평균지수 보다는 가중평균지수를 많이 이용한다.
21,간접세와 직접세,"직접세(直接稅)는 소득세, 법인세, 상속세 등과 같이 소득이나 부에 대하여 부과하는 세금으로 세금을 '부담하는 사람'과 '납부하는 사람'이 일치해 조세부담이 전가(轉嫁)되지 않는 세금이다

간접세(間接稅)는 세금을 납부할 의무가 있는 납세의무자와 세금을 최종적으로 부담할 담세자가 일치하지 않고 조세의 부담이 다른 사람에게 전가되는 세금을 말한다. 이 경우 납세의무자가 납세는 대납(代納)하되 그 조세가 물품가격 등을 통해 조세부담자에게 다시 전가되는 것이다. 간접세로는 부가가치세, 특별소비세, 주세, 전화세, 증권거래세, 인지세 등이 있다. "
22,감가상각률 ,"비상각자산 즉 토지, 건설중인 자산을 제외한 나머지 유·무형자산에 대하여 당기에 어느정도 감가상각비를 계상하였는가를 나타내는 비율로서 이 비율이 높으면 유·무형자산에 대한 재투자비용 회수가 빠름을 의미한다."
23,감가상각비,토지와 건설중인 자산 같은 특수한 자산을 제외한 대부분의 고정자산은 여러 가지 원인(감모와 새로운 발명품 등에 의한 경제적 가치의 감소)에 의하여 그 가치가 점차 감소되어 경영목적에 사용할 수 없게 되며 결국에 가서는 폐기하게 된다. 일정기간(내용년수) 일정비율로 추산하여 비용으로 간주하는 절차를 감가상각이라 하며 이상과 같이 자산의 이용으로 발생하는 비용을 감가상각비라 한다.
24,감응도계수,"모든 산업부문의 생산물에 대한 최종수요가 각각 한 단위씩 증가하였을 때 어떤 산업이 받는 영향, 즉 전방연쇄효과의 정도를 전산업 평균에 대한 상대적 크기로 나타낸 계수"
25,개발비 ,"특정 신제품 또는 신기술의 개발을 위한 내부 프로젝트는 연구단계와 개발단계로 구분하되 연구단계에서 발생한 모든 지출이나 개발단계에서 발생한 지출중 일정요건을 갖추지 못하는 경우에는 경상개발비·연구비 과목으로 해당기간의 비용으로 처리한다.
개발비가 무형자산으로 인식되기 위해서는 기술적 실현가능성, 개발후 완성자산을 사용하거나 판매하려는 기업의 의도나 능력, 미래 경제적 효익 창출력, 개발단계에서 발생한 지출의 객관적 측정가능성 등의 요건이 충족되어야 한다."
26,개발비상각 ,"무형자산으로서의 개발비에 대한 상각액을 말한다. 개발비란 신제품 또는 신기술개발과 관련하여 제품 및 용역의 생산을 위한 계획이나 설계에 대해 발생한 비용을 말하는데 이러한 개발비 중 무형자산인 개발비요건을 충족하지 못하는 경우 당기비용인 경상개발비로 처리하고, 요건을 충족하는 경우 무형자산인 개발비로 처리한다. 이에 대한 상각액이 개발비 상각이다."
27,개별 소비의 목적별 분류,"개별 소비의 목적별 분류(COICOP, Classification of Individual Consumption by Purpose)는 유엔 통계국에서 제정한 통계분류체계로, 가계의 소비지출을 실제 개별 소비 목적 별로 12개 부분으로 구분한다. 주요 항목으로는 식료품 및 비주류음료, 주류 및 담배, 의류 및 신발, 주거 및 수도광열, 보건, 교통 등이 있다."
28,개별가격지수,한 품목의 가격변화를 기준시점의 가격에 대한 비교시점 가격의 비율로 산출한 수치를 말한다. 일정한 시기를 기준(=100)으로 하여 개별상품의 시기에 따른 가격변동을 지수화한 것이다.
29,개별수량지수,한 품목의 수량변화를 기준시점의 수량에 대한 비교시점 수량의 비율로 산출한 수치를 말한다. 명목 금액의 변화에는 가격변동에 의하여 변화한 부분과 수량의 변화에 의하여 물리적으로 변화한 부분이 있는데 수량지수는 그 중 수량의 변화 부분을 나타낸다.
30,개인부문,"개인부문은 도시농어가 등의 가계와 개인기업 중 비법인기업으로 분류되지 않는 소규모 개인기업, 가계에 봉사하는 민간의 비영리기관을 포함한다. 민간의 비영리기관에는 민간의 조사 및 과학연구기관, 사립학교, 종교단체, 재단의 형태를 갖춘 병원, 직능단체, 소비자단체, 정당, 노동조합 등이 포함된다."
31,개인소득,"개인(가계 + 개인기업)에게 귀속되는 소득으로, 국민소득에서 법인세와 사내유보이윤을 제하고 정부 및 기업의 이전지출을 더하여 구한다.
· PI = NI(국민소득) - 법인세 - 사내유보이윤 + 정부 및 기업의 이전지출"
32,개인처분가능소득,"개인이 임의로 소비와 저축으로 처분할 수 있는 소득을 말한다.
· PDI = 개인소득(PI) - 개인소득세"
33,거래외증감표,"거래외증감표는 가격 또는 환율의 변동과 대손상각, 재평가 등 거래이외의 요인에 의해 발생하는 금융자산 및 부채잔액의 변동을 기록한 표이다. 증권시장에서 가격이 변동하는 주식?채권 등 유가증권, 대손상각이나 재평가 대상이 되는 금융기관의 예금?대출금 그리고 환율변동의 영향을 받는 외화관련 금융자산 등 거의 모든 금융자산이 거래 이외의 요인으로 변동한다. 이러한 거래외증감표는 금융자산 및 부채잔액의 변동액과 기간 중 실제 거래금액과의 차액으로 나타나며 금융거래표 및 금융자산부채잔액표와 동일한 부문분류기준에 의거 금융자산형태별로 작성된다."
34,거주성,주된 경제적 이익의 중심이 어디에 있는지에 따라 경제주체를 거주자와 비거주자로 구분하는 기준을 의미한다. 통상적으로 경제주체가 1년 이상 어떤 국가에서 경제활동 및 거래를 수행하거나 그러한 의도가 있을 경우 주된 경제적 이익의 중심이 그 국가에 있다고 본다.
35,거주자/비거주자,"국제수지표에서 거주자와 비거주자는 국적이 아닌 경제적 이익의 중심(center of predominant economic interest)을 기준으로 구분한다. 거주자는 주된 경제적 이익의 중심이 국민경제영역 내에 있는 경제주체를 의미한다. 국민경제영역 밖에 있는 여타 경제주체는 비거주자가 된다. 통상 경제주체가 어떤 나라에서 1년 이상 경제활동을 한 경우 이익의 중심이 그 국가에 있다고 본다. 외국인 이더라도 1년 이상 우리나라에서 생산활동에 참여하고 있으면 거주자로 보지만, 해외교포는 우리나라 국적이더라도 외국에서 경제활동을 수행하고 있으므로 비거주자로 분류한다. 
"
36,거처,사람이 살고 있는 모든 장소를 통칭하는 말로서 구조적으로 분리되고 독립된 하나의 거주단위를 말하며 주택과 주택이외의 거처로 구분된다.
37,건강평가,"응답자가 자신의 연령 수준을 감안하여 주관적으로 판단한 건강상태를 말하며, 주관적 건강상태 평가는 건강이 단순히 신체적으로 이상이 없는 상태를 의미하는 것이 아니라 정신적 및 사회적으로 안녕된 상태(Social Well-being State)라는 의미의 지표이다."
38,건물·구축물 ,"건물은 기업이 영업목적으로 토지에 건설한 건축물과 그것의 영속적 부속설비로서 건물과 냉난방, 전기, 통신 및 기타의 건물부속설비가 포함된다. 구축물은 토지에 부착된 토목설비 또는 공작물로서 교량, 안벽, 부교, 궤도, 저수지, 갱도, 굴뚝, 정원설비 등이 포함된다."
39,건설중인 자산 ,"건설중인 자산은 유형자산의 건설을 위해 재료비, 노무비 및 경비 등이 지출되었으나 건설이 완료되지 아니한 경우에 일시적으로 처리하기 위한 계정으로 건설이 완료되어 영업에 사용하게 된 때에는 해당 유형자산계정으로 대체 처리한다. 또한 건설자금으로 사용된 차입금에서 발생한 순금융비용은 건설중인 자산에 포함한다."
40,건축면적,"건축물 외벽의 중심선으로 둘러싸인 부분의 바닥면적으로 흔히 건평으로도 불리며, 일반적으로는 1층의 바닥면적을 건축면적이라고 한다. 넓은 의미로는 2층 이상도 포함한 바닥면적의 합계(연면적 또는 연건축면적)를 나타기도 한다."
41,건폐율,건축면적(대지에 둘 이상의 건축물이 있는 경우에는 이들 건축면적의 합계로 한다)의 대지면적에 대한 비율을 말한다. 건축밀도를 나타내는 지표의 하나로 시가지의 건축규제 및 토지이용 효과를 판정하는데 이용한다.
42,경기,"경기란 나라경제의 전체적인 활동수준을 의미한다. 사람의 기분이 좋을 때도 있고 나쁠 때도 있는 것처럼 또 우리 몸의 활동상태에 따라 체온이 오르내리듯이 나라경제도 활동상태에 따라 경기가 오르내리는 변화를 겪는다.

경제학자들이 경제의 움직임을 연구한 결과 마치 파도와 같이 호황기→ 후퇴기→ 불황기 → 회복기 → 호황기가 반복되면서 끊임없이 변동한다는 것을 발견하였으며 경기가 이렇게 일정한 움직임을 되풀이하는 것을 경기의 순환이라고 한다.
호황기는 생산, 소비 등 경제활동이 활발하게 전개되고 있는 상태이고 후퇴기는 서서히 위축되어가는 상태이다. 후퇴기 다음엔 경제가 침체상태에 빠지는 불황기가 오고 그러다 다시 조금씩 활기를 되찾는 회복기를 맞게 된다.

경기순환은 한 나라의 경제에서뿐만 아니라 세계경제 전체에서도 나타난다. 특히 요즘과 같은 세계화 시대엔 글로벌 경제 또는 지구촌 경제라고 해서 각 나라의 경제가 긴밀히 연결되어 있기 때문에 선진국들이 불황에 빠지면 다른 나라의 경기도 함께 침체되는 예가 많다.

경기는 국민생활에 광범위하게 영향을 미친다. 따라서 정부는 물론 기업 및 가계도 경기 동향과 전망을 정확하게 파악해야만 투자, 생산, 소비, 저축 등의 경제행위를 합리적으로 결정하고 향후 경기변동에 대비할 수 있다.

경기를 판단하기 위한 방법으로는 생산, 투자, 고용, 수출 등 경제 각 부문의 동향을 잘 반영한다고 판단되는 여러가지 숫자(경제지표)들이 어떻게 움직이고 있는가를 분석하는 방법, 종합경기지표라는 숫자로 판단하는 방법, 기업가나 소비자들이 경기를 어떻게 판단하고 있는지, 어떻게 전망하고 있는지에 대한 설문조사에 의한 방법 등이 있다.
이러한 자료를 통하여 현재의 경기국면이 어디에 위치하고 있는가,  이후의 경기는 어떠할 것인가를 미리 예상하는 경기예측을 하게 된다."
43,경기조절정책,"국가경제의 상태 또는 상황을 “경기”라는 말로 표현하는데 경기는 사람의 건강상태를 나타내주는 체온과 유사하다. 마치 사람의 체온이 건강상태에 따라 때로는 정상수준보다 높거나 낮을 수 있는 것처럼 경기도 경제상태에 따라 때로는 정상수준보다 과열되거나 냉각될 수 있다. 사람의 체온이 높거나 낮으면 건강을 회복하기 위해 적절한 치료를 받게 되는 것처럼 경기도 과열되거나 냉각되면 경제의 정상수준을 회복하기 위해 정책당국이 이에 맞는 정책을 취하게 되는데 이를 “경기조절정책”이라고 한다.

정책당국은 경기조절정책을 실행하기 위해 정부의 재정권한(지출 및 조세)을 이용하거나 또는 중앙은행의 통화제도 운용 권한(통화량 및 금리)을 이용하게 된다. 경기가 냉각될 때(경기불황)는 정부지출을 늘리거나 조세를 줄이는 재정정책 및 통화량을 늘리거나 금리를 내리는 통화정책이 활용*되며 반대로 경기가 지나치게 과열될 때는 정부지출을 줄이거나 조세를 늘리는 재정정책 또는 통화량을 줄이거나 금리를 올리는 통화정책이 활용된다. 결국 경기조절정책은 재정 또는 통화정책을 이용하여 국가경제 전체의 재화 또는 서비스에 대한 수요를 조절하는 데 목적을 두고 있다.

 * 정부가 재정지출을 늘리거나 조세를 줄이면 직접적으로 국민들의 소득이 높아져서 재화 및 서비스에 대한 수요가 증가하게 된다. 또한 중앙은행이 통화량을 늘리거나 정책금리를 내리면 기업들이 돈을 빌리면서 지불해야 하는 이자율이 낮아져 기업투자가 늘고 일자리도 증가하면서 재화 및 서비스에 대한 수요도 증가하게 된다.


한편 이러한 경기조절정책의 유효성에 대해 부정적인 견해도 있다. 이러한 견해의 근거는 여러 가지가 있는데 이들 근거의 공통점은 국가경제는 사람들간의 상호작용에 기인한 것이므로 기계처럼 인위적으로 정확하게 조작될 수 있는 것이 아니라는 점을 지적하고 있다. 예를 들어 경기불황기에 정부가 재정지출을 늘려 경기를 활성화시키려고 하는 경우를 생각해보자. 정부의 재정지출 확대로 재정이 적자를 나타내면 결국에는 국민들에게 세금을 걷어 재정적자를 충당해야 한다. 만약 이러한 사실을 대부분의 사람들이 예상할 수 있게 되면 정부의 재정지출로 소득이 늘어난 사람들은 이 증가된 소득을 나중에 내야할 세금을 마련하기 위해 소비하지 않고 모아둘 것이다. 결국 재정지출 증가에도 불구하고 사람들의 소비가 증가하지 않아 경기조절정책은 아무런 효과도 내지 못하게 된다. 이와 같이 사람들간의 행동을 정확하게 예측하는 것은 어려운 일이므로 인위적인 경기조절정책은 바람직하지 않다는 것이다"
44,경기종합지수,"국민경제 전체의 경기동향을 쉽게 파악하기 위하여 경제부문별(생산, 투자, 고용, 소비 등)로 경기에 민감하게 반영하는 주요 경제지표들을 선정한 후 이 지표들의 전월대비 증감률을 합성하여 작성하는데, 개별 구성지표들의 증감률 크기에 의해 경기변동의 진폭까지도 알 수 있으므로 경기변동의 방향, 국면 및 전환점은 물론 속도까지도 동시에 분석할 수 있어 우리나라의 대표적인 종합경기지표로 널리 활용되고 있다. 경기종합지수에는 선행(Leading), 동행(Coincident), 후행(Lagging)종합지수가 있다. 선행종합지수는 앞으로의 경기동향을 예측하는 지표로서 구인구직비율, 기계수주액(국내), 건설수주액, 총유동성 등과 같이 앞으로 일어날 경제현상을 미리 알려주는 10개 지표들의 움직임을 종합하여 작성한다. 동행종합지수는 현재의 경기상태를 나타내는 지표로서 산업생산지수, 제조업가동률지수, 도소매판매액지수, 비농가취업자수 등과 같이 국민경제 전체의 경기변동과 거의 동일한 방향으로 움직이는 8개 지표로 구성된다. 후행종합지수는 경기의 변동을 사후에 확인하는 지표로서 생산자제품재고지수, 회사채유통수익률, 가계소비지출 등과 같은 6개 지표로 구성된다."
45,경기확산지수,"경기판단 및 예측을 하기 위한 경기변동 측정방법들중의 하나로 경기변동이 경제의 특정부문으로부터 시작되어 점차 전체 경제부문으로 확산, 파급되는 과정을 경제부문을 대표하는 각 지표들을 통하여 파악하고자 하는 지표이다. 즉, 계절변동과 불규칙변동이 제거된 각 구성지표들 중 증가의 방향으로 움직인 지표수가 전체 지표수에서 차지하는 비율을 백분비로 나타낸 것이다. 현재 구성지표는 경기종합지수(CI)와 동일한 지표인 선행·동행 10개, 후행 6개 지표를 이용하여 작성되고 있다. 만약, DI가 기준선인 50을 넘으면 경기는 확장국면에, 50보다 낮으면 수축국면에, 50이면 경기전환점이 되는 시점으로 판단한다. 종류에는 경기확산지수(DI)와 경기전환점을 보다 쉽게 파악하기 위해 전월 DI에 금월DI와 50의 증감만큼을 더한 누적확산지수(CDI)가 있다. 경기확산지수는 경기종합지수에 비해 경기의 진폭이나 속도는 파악할 수 없으나 변화방향, 국면, 경기전환점을 판단하고 경기변동의 단기 예측이 가능하다는 장점이 있다."
46,경비 ,"회계학에서의 경비란 제품의 제조를 위하여 지출된 원가요소중 재료비, 노무비를 제외한 일체의 비용을 말한다. 부동산, 임차료, 보험료, 수도료, 운임, 교통비, 감가상각비 등 종류가 다양하며 이 중 제조와 직결되는 것은 제조경비, 판매와 관련되는 것은 판매비, 기업의 전반적인 관리와 연결되는 것은 일반관리비로 구분한다."
47,경상개발비 ,경상개발비는 특정 신기술연구 또는 신제품의 개발과 관련하여 개발단계에서 발생한 지출중 무형자산 요건을 갖추지 못한 경우로서 제조활동과 관련된 비용을 말한다.
48,경상개발비·연구비  ,"경상개발비·연구비는 특정 신기술연구 또는 신제품의 개발과 관련하여 발생된 비용으로서 연구단계에서 발생한 모든 지출과 개발단계에서 발생한 지출중 기술적 실현가능성, 완성후 판매 또는 사용하려는 기업의 의도 및 능력, 미래의 경제적 효익창출력 등의 요건을 하나라도 갖추지 못한 경우로서 해당기간의 비용으로 처리한다."
49,경상계정,"경상계정은 재화와 서비스의 생산, 생산에 의한 소득의 발생, 제도단위간 소득분배와 재분배, 그리고 소비 또는 저축을 위한 소득의 사용을 기록하는 계정임"
50,경상산업연관표,금액을 기준으로 산업연관표를 작성할 경우 적용되는 가격의 시점에 따라 경상산업연관표와 불변산업연관표로 구분되고 있는데 경상산업연관표는 당해연도의 생산물에 당해연도의 가격을 적용하여 작성된 표
51,경상손익 ,"경상손익은 기업의 경상거래, 즉 영업거래와 영업외거래에 의하여 발생된 손익으로 영업손익에 영업외수익을 가산하고 영업외비용을 차감하여 산출한다."
52,경상수지,"가계는 수입과 지출을 기록하는 가계부를 작성함으로써 가계의 재정상태를 파악하는 데 도움을 받는다. 그런데 가계부 작성을 위한 수입 또는 지출을 발생원천 별로 구분해 보면 실물부문과 금융부문으로 나눌 수 있다. 실물부문은 근로소득, 재화 및 서비스의 구입과 판매 등과 관련된 수입과 지출을 말하며 금융부문은 저축, 대출 등과 관련된 수입과 지출을 말한다.

가계와 마찬가지로 국가도 외국과의 거래에서 발생하는 수입과 지출을 기록함으로써 경제상태를 파악하는 데 도움을 받을 수 있다. 또한 국가의 수입과 지출도 가계의 수입과 지출처럼 실물부문과 금융부문으로 구분할 수 있다. 재화 및 서비스의 이동, 임금 및 투자 소득의 이동 등과 관련된 수입과 지출은 실물부문에 해당되며 국가간의 자금거래 등과 관련된 수입과 지출은 금융부문에 해당한다.

여기서 한 국가가 실물부문에서 외국과 실행한 거래결과 벌어들인 수입에서 지출을 차감한 금액을 해당 국가의 경상수지라고 표현한다. 특히 거래결과 해당국가의 경상수지가 플러스를 보일 경우에는 “경상수지 흑자”라고 하고 경상수지가 마이너스일 경우에는 “경상수지 적자”라고 한다.

한편 경상수지는 다시 상품수지, 서비스수지, 본원소득수지, 이전소득수지로 구분되며 각각의 내용은 다음과 같다. 상품수지는 재화의 수출ㆍ입 거래결과를 나타내며, 서비스수지는 서비스의 수출ㆍ입 거래결과를 나타낸다. 본원소득수지는 생산요소(노동, 자본)의 이용대가인 임금, 이자, 배당 등의 유출ㆍ입 결과를 보여준다. 이전소득수지는 무상원조나 개인송금처럼 아무런 대가없이 자금이 이동하는 거래의 결과를 기록한다."
53,경상이익 ,"영업이익에 영업외수익을 가산하고 영업외비용을 차감한 잔액을 말한다. 경상이익은 기업의 영업활동과 직접적인 관계없이 일시적으로 발생하는 토지, 유가증권 매매차익이나 재해 등에 의한 특별손익이 추가되는 당기순이익과 달리 기업의 실질적인 운영에 의한 이익의 수준을 나타내므로 기업의 업적실태를 파악하는 지표로 이용된다."
54,경상이전,"국민경제상의 제도단위간 반대급부 없이 일어나는 소득(현금 및 현물)의 이전거래로서 강제적 이전과 자발적 이전으로 나눌 수 있다. 
예시는 다음과 같다.
강제적 이전은 소득세나 법인세 등 경상세, 가계가 부담하는 징수요금 및 벌과금, 건강보험 등 사회부담금 및 수혜금 등이 있다.
자발적 이전은 종교단체에 대한 헌금, 경조비, 불우이웃돕기성금 등이 이에 해당된다.
또한 정부 또는 가계에 봉사하는 비영리단체가 가계에 제공하는 재화와 서비스인 사회적현물이전, 퇴직연금 등 민간사회보험기구에 대한 가계의 부담금 및 수혜금도 경상이전에 속한다."
55,경상지출,"경상비라고도 하며, 재정지출 가운데 인건비, 물건비 등 국가에서 매년 정기적으로 필요로 하는 재화, 서비스의 구입에 사용되는 지출을 말한다. "
56,경영자산회전율 ,영업활동에 직접 투입활용되고 있는 경영자산의 효율성을 평가하는데 이용되는 지표이다.
57,경쟁.비경쟁절충형표,국산품과 수입품의 경쟁 여부에 따라 수입품을 경쟁수입품과 비경쟁수입품으로 구분한 다음 경쟁수입품은 국산품과 동일하게 취급하여 각 수요부문에 배분하고 비경쟁수입품만을 별도로 분류하여 작성하는 표를 경쟁·비경쟁절충형표라 함
58,경쟁수입형,경쟁수입형표는 모든 수입품이 국산품과 경쟁관계에 있다는 전제하에 거래되는 재화나 서비스의 종류가 같으면 수입품을 국산과 동일하게 취급하여 국내생산품과 수입품을 구분하지 않고 각 수요부문에 일괄 배분하여 작성하는 표
